ID;BP;ROE ;SP;Return_last_quarter ;Market_Value ; Small_systematic_Risk;Annual_Return;Excess_Return;Systematic_Risk;Total_Risk;Abs_Win_Rate;Rel_Win_Rate
1;1.000;0.000;0.000;0.000;0.000;0.000;0.532;0.478;0.738;0.800;0.520;0.412
2;0.000;1.000;0.000;0.000;0.000;0.000;0.550;0.488;0.572;0.412;0.520;0.765
3;0.000;0.000;1.000;0.000;0.000;0.000;0.693;0.630;0.703;0.757;0.440;0.376
4;0.000;0.000;0.000;1.000;0.000;0.000;0.324;0.256;0.800;0.756;0.360;0.271
5;0.000;0.000;0.000;0.000;1.000;0.000;0.327;0.307;0.432;0.209;0.720;0.447
6;0.000;0.000;0.000;0.000;0.000;1.000;0.200;0.200;0.491;0.429;0.200;0.235
7;0.500;0.500;0.000;0.000;0.000;0.000;0.800;0.800;0.360;0.375;0.760;0.729
8;0.500;0.000;0.500;0.000;0.000;0.000;0.652;0.594;0.724;0.797;0.480;0.376
9;0.000;0.500;0.500;0.000;0.000;0.000;0.751;0.721;0.454;0.418;0.560;0.765
10;0.500;0.000;0.000;0.500;0.000;0.000;0.585;0.587;0.439;0.460;0.640;0.376
11;0.000;0.500;0.000;0.500;0.000;0.000;0.627;0.574;0.564;0.473;0.560;0.729
12;0.000;0.000;0.500;0.500;0.000;0.000;0.680;0.638;0.563;0.554;0.600;0.518
13;0.500;0.000;0.000;0.000;0.500;0.000;0.536;0.511;0.482;0.396;0.640;0.553
14;0.000;0.500;0.000;0.000;0.500;0.000;0.456;0.443;0.400;0.218;0.480;0.800
15;0.000;0.000;0.500;0.000;0.500;0.000;0.561;0.539;0.458;0.364;0.640;0.518
16;0.000;0.000;0.000;0.500;0.500;0.000;0.298;0.266;0.550;0.415;0.520;0.341
17;0.500;0.000;0.000;0.000;0.000;0.500;0.430;0.474;0.357;0.416;0.600;0.341
18;0.000;0.500;0.000;0.000;0.000;0.500;0.605;0.612;0.374;0.344;0.560;0.694
19;0.000;0.000;0.500;0.000;0.000;0.500;0.527;0.544;0.426;0.462;0.440;0.482
20;0.000;0.000;0.000;0.500;0.000;0.500;0.349;0.356;0.515;0.537;0.360;0.306
21;0.000;0.000;0.000;0.000;0.500;0.500;0.312;0.310;0.403;0.240;0.400;0.341
22;0.333;0.333;0.333;0.000;0.000;0.000;0.786;0.760;0.472;0.492;0.640;0.765
23;0.333;0.333;0.000;0.333;0.000;0.000;0.740;0.739;0.365;0.355;0.720;0.553
24;0.333;0.000;0.333;0.333;0.000;0.000;0.652;0.625;0.535;0.562;0.640;0.306
25;0.000;0.333;0.333;0.333;0.000;0.000;0.747;0.712;0.467;0.414;0.640;0.659
26;0.333;0.333;0.000;0.000;0.333;0.000;0.570;0.581;0.340;0.252;0.680;0.694
27;0.333;0.000;0.333;0.000;0.333;0.000;0.668;0.621;0.565;0.543;0.560;0.588
